id,name,standard
692,B00692,STANDARD5
693,B00693,STANDARD2
694,B00694,STANDARD2
695,B00695,STANDARD1
696,B00696,STANDARD1
697,B00697,STANDARD1
698,B00698,STANDARD5
699,B00699,STANDARD1
700,B00700,STANDARD1
701,B00701,STANDARD1
702,B00702,STANDARD1
703,B00703,STANDARD1
704,B00704,STANDARD1
705,B00705,STANDARD1
706,B00706,STANDARD2
707,B00707,STANDARD1
708,B00708,STANDARD1
709,B00709,STANDARD1
710,B00710,STANDARD1
711,B00711,STANDARD1
712,B00712,STANDARD1
713,B00713,STANDARD1
714,B00714,STANDARD3
715,B00715,STANDARD4
716,B00716,STANDARD3
717,B00717,STANDARD2
718,B00718,STANDARD4
719,B00719,STANDARD1
720,B00720,STANDARD5
721,B00721,STANDARD1
722,B00722,STANDARD1
723,B00723,STANDARD1
724,B00724,STANDARD2
725,B00725,STANDARD5
726,B00726,STANDARD1
727,B00727,STANDARD4
728,B00728,STANDARD1
729,B00729,STANDARD2
730,B00730,STANDARD1
731,B00731,STANDARD5
732,B00732,STANDARD1
733,B00733,STANDARD2
734,B00734,STANDARD1
735,B00735,STANDARD1
736,B00736,STANDARD1
737,B00737,STANDARD1
738,B00738,STANDARD1
739,B00739,STANDARD1
740,B00740,STANDARD1
741,B00741,STANDARD1
742,B00742,STANDARD1
743,B00743,STANDARD1
744,B00744,STANDARD2
745,B00745,STANDARD1
746,B00746,STANDARD2
747,B00747,STANDARD4
748,B00748,STANDARD1
749,B00749,STANDARD3
750,B00750,STANDARD2
751,B00751,STANDARD1
752,B00752,STANDARD3
753,B00753,STANDARD2
754,B00754,STANDARD1
755,B00755,STANDARD3
756,B00756,STANDARD1
757,B00757,STANDARD1
758,B00758,STANDARD1
759,B00759,STANDARD1
760,B00760,STANDARD1
761,B00761,STANDARD2
762,B00762,STANDARD1
763,B00763,STANDARD1
764,B00764,STANDARD4
765,B00765,STANDARD4
766,B00766,STANDARD1
767,B00767,STANDARD1
768,B00768,STANDARD2
769,B00769,STANDARD1
770,B00770,STANDARD1
771,B00771,STANDARD1
772,B00772,STANDARD1
773,B00773,STANDARD1
774,B00774,STANDARD1
775,B00775,STANDARD2
776,B00776,STANDARD1
777,B00777,STANDARD1
778,B00778,STANDARD1
779,B00779,STANDARD1
780,B00780,STANDARD1
781,B00781,STANDARD1
782,B00782,STANDARD1
783,B00783,STANDARD2
784,B00784,STANDARD5
785,B00785,STANDARD2
786,B00786,STANDARD1
787,B00787,STANDARD5
788,B00788,STANDARD5
789,B00789,STANDARD1
790,B00790,STANDARD1
791,B00791,STANDARD5
792,B00792,STANDARD5
793,B00793,STANDARD2
794,B00794,STANDARD5
795,B00795,STANDARD1
796,B00796,STANDARD5
797,B00797,STANDARD1
798,B00798,STANDARD1
799,B00799,STANDARD1
800,B00800,STANDARD1
801,B00801,STANDARD1
802,B00802,STANDARD2
803,B00803,STANDARD5
804,B00804,STANDARD5
805,B00805,STANDARD2
806,B00806,STANDARD1
807,B00807,STANDARD2
808,B00808,STANDARD5
809,B00809,STANDARD4
810,B00810,STANDARD1
811,B00811,STANDARD5
812,B00812,STANDARD4
813,B00813,STANDARD1
814,B00814,STANDARD1
815,B00815,STANDARD2
816,B00816,STANDARD2
817,B00817,STANDARD5
818,B00818,STANDARD1
819,B00819,STANDARD1
820,B00820,STANDARD1
821,B00821,STANDARD1
822,B00822,STANDARD4
823,B00823,STANDARD1
824,B00824,STANDARD1
825,B00825,STANDARD1
826,B00826,STANDARD1
827,B00827,STANDARD1
828,B00828,STANDARD1
829,B00829,STANDARD1
830,B00830,STANDARD1
831,B00831,STANDARD1
832,B00832,STANDARD1
833,B00833,STANDARD1
834,B00834,STANDARD1
835,B00835,STANDARD4
836,B00836,STANDARD1
837,B00837,STANDARD1
838,B00838,STANDARD2
839,B00839,STANDARD1
840,B00840,STANDARD1
841,B00841,STANDARD1
842,B00842,STANDARD1
843,B00843,STANDARD1
844,B00844,STANDARD1
845,B00845,STANDARD1
846,B00846,STANDARD1
847,B00847,STANDARD5
848,B00848,STANDARD2
849,B00849,STANDARD1
850,B00850,STANDARD3
851,B00851,STANDARD1
852,B00852,STANDARD2
853,B00853,STANDARD2
854,B00854,STANDARD2
855,B00855,STANDARD5
856,B00856,STANDARD1
857,B00857,STANDARD2
858,B00858,STANDARD5
859,B00859,STANDARD1
860,B00860,STANDARD3
861,B00861,STANDARD1
862,B00862,STANDARD5
863,B00863,STANDARD1
864,B00864,STANDARD1
865,B00865,STANDARD3
866,B00866,STANDARD1
867,B00867,STANDARD3
868,B00868,STANDARD3
869,B00869,STANDARD2
870,B00870,STANDARD2
871,B00871,STANDARD5
872,B00872,STANDARD3
873,B00873,STANDARD1
874,B00874,STANDARD1
875,B00875,STANDARD1
876,B00876,STANDARD2
877,B00877,STANDARD1
878,B00878,STANDARD2
879,B00879,STANDARD1
880,B00880,STANDARD1
881,B00881,STANDARD4
882,B00882,STANDARD1
883,B00883,STANDARD2
884,B00884,STANDARD2
885,B00885,STANDARD2
886,B00886,STANDARD5
887,B00887,STANDARD1
888,B00888,STANDARD2
889,B00889,STANDARD1
890,B00890,STANDARD1
891,B00891,STANDARD2
892,B00892,STANDARD2
893,B00893,STANDARD3
894,B00894,STANDARD1
895,B00895,STANDARD1
896,B00896,STANDARD1
897,B00897,STANDARD1
898,B00898,STANDARD3
899,B00899,STANDARD3
900,B00900,STANDARD4
901,B00901,STANDARD1
902,B00902,STANDARD1
903,B00903,STANDARD1
904,B00904,STANDARD1
905,B00905,STANDARD2
906,B00906,STANDARD3
907,B00907,STANDARD1
908,B00908,STANDARD3
909,B00909,STANDARD2
910,B00910,STANDARD1
911,B00911,STANDARD1
912,B00912,STANDARD1
913,B00913,STANDARD1
914,B00914,STANDARD1
915,B00915,STANDARD4
916,B00916,STANDARD1
917,B00917,STANDARD1
918,B00918,STANDARD2
919,B00919,STANDARD1
920,B00920,STANDARD1
921,B00921,STANDARD2
922,B00922,STANDARD2
923,B00923,STANDARD2
924,B00924,STANDARD1
925,B00925,STANDARD2
926,B00926,STANDARD2
927,B00927,STANDARD2
928,B00928,STANDARD2
929,B00929,STANDARD5
930,B00930,STANDARD2
931,B00931,STANDARD2
932,B00932,STANDARD2
933,B00933,STANDARD2
934,B00934,STANDARD2
935,B00935,STANDARD2
936,B00936,STANDARD2
937,B00937,STANDARD2
938,B00938,STANDARD3
939,B00939,STANDARD1
940,B00940,STANDARD2
941,B00941,STANDARD5
942,B00942,STANDARD2
943,B00943,STANDARD5
944,B00944,STANDARD2
945,B00945,STANDARD3
946,B00946,STANDARD1
947,B00947,STANDARD2
948,B00948,STANDARD1
949,B00949,STANDARD2
950,B00950,STANDARD2
951,B00951,STANDARD2
952,B00952,STANDARD4
953,B00953,STANDARD1
954,B00954,STANDARD1
955,B00955,STANDARD1
956,B00956,STANDARD2
957,B00957,STANDARD1
958,B00958,STANDARD1
959,B00959,STANDARD2
960,B00960,STANDARD1
961,B00961,STANDARD4
962,B00962,STANDARD1
963,B00963,STANDARD1
964,B00964,STANDARD1
965,B00965,STANDARD5
966,B00966,STANDARD3
967,B00967,STANDARD2
968,B00968,STANDARD2
969,B00969,STANDARD2
970,B00970,STANDARD1
971,B00971,STANDARD4
972,B00972,STANDARD1
973,B00973,STANDARD1
974,B00974,STANDARD2
975,B00975,STANDARD1
976,B00976,STANDARD1
977,B00977,STANDARD4
978,B00978,STANDARD2
979,B00979,STANDARD1
980,B00980,STANDARD1
981,B00981,STANDARD1
982,B00982,STANDARD2
983,B00983,STANDARD2
984,B00984,STANDARD2
985,B00985,STANDARD1
986,B00986,STANDARD1
987,B00987,STANDARD1
988,B00988,STANDARD5
989,B00989,STANDARD2
990,B00990,STANDARD2
991,B00991,STANDARD2
992,B00992,STANDARD1
993,B00993,STANDARD1
994,B00994,STANDARD2
995,B00995,STANDARD1
996,B00996,STANDARD1
997,B00997,STANDARD2
998,B00998,STANDARD2
999,B00999,STANDARD5
1000,B01000,STANDARD1
1001,B01001,STANDARD5
1002,B01002,STANDARD2
1003,B01003,STANDARD1
1004,B01004,STANDARD1
1005,B01005,STANDARD5
1006,B01006,STANDARD1
1007,B01007,STANDARD3
1008,B01008,STANDARD2
1009,B01009,STANDARD1
1010,B01010,STANDARD1
1011,B01011,STANDARD1
1012,B01012,STANDARD1
1013,B01013,STANDARD4
1014,B01014,STANDARD3
